Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
'71,1000000,252178,6.774,1026,2014-10-10,3200000,99.0,11000000,en,'71,A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,13.097,/xjorsS84euahsmGlnEEeE3LFSVZ.jpg,"Thriller, Action, Drama, War",10101.0101010101,11.0,Medio
10 Cloverfield Lane,1400000,333371,6.981,7377,2016-03-10,110216998,104.0,15000000,en,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",27.817,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,"Thriller, Science Fiction, Drama, Horror",13461.538461538461,15.0,Medio
11:11,100000,987426,0.0,0,2022-06-13,0,66.36,52,pt,11:11,"Leticia is a 26-year-old who believed in happy endings. Now, married to police officer Roberto, her life is a real hell, and the constant abuse is destroying her physical and emotional stability. She wants to get out of this situation, but she doesn't know How still",0.6,SinPoster,Drama,1506.931886678722,5.2e-05,Bajo
11:11,100000,1087167,0.0,0,2022-11-11,0,67.0,50,en,11:11,An estranged son embarks on an existential road trip back to his old hometown to attend his father's funeral.,0.899,/kgeE8oQBybaINyDYoL912cCf6TG.jpg,Drama,1492.5373134328358,5e-05,Bajo
11:11,100000,135570,0.0,0,2011-11-01,0,66.36,2100000,en,11:11,Set in two periods of time and existence. Two young friends reunite in a new life and the only link between them and their previous lives is the synchronicity of 11:11.,1.36,/voPRYeFxfwtOjMckvt1m2RdS8VV.jpg,Horror,1506.931886678722,2.1,Bajo
12 Strong,13000000,429351,6.233,2632,2018-01-18,67450815,130.0,35000000,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,26.628,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,"War, Drama, Action, History",100000.0,35.0,Medio
12 Years a Slave,400000,76203,7.945,10603,2013-10-18,187000000,134.0,20000000,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",34.808,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"Drama, History",2985.0746268656717,20.0,Medio
13 Going on 30,11300000,10096,6.733,4755,2004-04-13,96455697,98.0,37000000,en,13 Going on 30,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",26.074,/iNZdSIfhSCMtRILDNyhLn8UKeSG.jpg,"Comedy, Fantasy, Romance",115306.12244897959,37.0,Medio
13 Hours: The Secret Soldiers of Benghazi,17600000,300671,7.27,3211,2016-01-14,69411370,144.0,50000000,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,44.505,/nAnfWdvUXQemns5BR0Azi4z9o1t.jpg,"War, Action, History, Drama",122222.22222222222,50.0,Alto
1408,11000000,3021,6.674,4007,2007-06-22,132963417,104.0,25000000,en,1408,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",23.346,/yE9MCW7ZNxSw5SC1TMqm51pMBIV.jpg,"Horror, Mystery, Thriller",105769.23076923077,25.0,Medio
17 Again,3000000,16996,6.287,4788,2009-03-11,136316880,102.0,20000000,en,17 Again,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",32.875,/wqE9b0bdZsubI82zdX1ykLfPajh.jpg,Comedy,29411.764705882353,20.0,Medio
